Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Select Metric,
Respiratory,Borough,Bronx,Age Group,All age groups,1/1/16,Count,307
Respiratory,Borough,Bronx,Age Group,All age groups,1/2/16,Count,366
Respiratory,Borough,Bronx,Age Group,All age groups,1/3/16,Count,316
Respiratory,Borough,Bronx,Age Group,All age groups,1/4/16,Count,363
Respiratory,Borough,Bronx,Age Group,All age groups,1/5/16,Count,302
Respiratory,Borough,Bronx,Age Group,All age groups,1/6/16,Count,339
Respiratory,Borough,Bronx,Age Group,All age groups,1/7/16,Count,322
Respiratory,Borough,Bronx,Age Group,All age groups,1/8/16,Count,302
Respiratory,Borough,Bronx,Age Group,All age groups,1/9/16,Count,266
Respiratory,Borough,Bronx,Age Group,All age groups,1/10/16,Count,247
Respiratory,Borough,Bronx,Age Group,All age groups,1/11/16,Count,343
Respiratory,Borough,Bronx,Age Group,All age groups,1/12/16,Count,344
Respiratory,Borough,Bronx,Age Group,All age groups,1/13/16,Count,307
Respiratory,Borough,Bronx,Age Group,All age groups,1/14/16,Count,289
Respiratory,Borough,Bronx,Age Group,All age groups,1/15/16,Count,264
Respiratory,Borough,Bronx,Age Group,All age groups,1/16/16,Count,279
Respiratory,Borough,Bronx,Age Group,All age groups,1/17/16,Count,272
Respiratory,Borough,Bronx,Age Group,All age groups,1/18/16,Count,299
Respiratory,Borough,Bronx,Age Group,All age groups,1/19/16,Count,327
Respiratory,Borough,Bronx,Age Group,All age groups,1/20/16,Count,281
Respiratory,Borough,Bronx,Age Group,All age groups,1/21/16,Count,307
Respiratory,Borough,Bronx,Age Group,All age groups,1/22/16,Count,268
Respiratory,Borough,Bronx,Age Group,All age groups,1/23/16,Count,105
Respiratory,Borough,Bronx,Age Group,All age groups,1/24/16,Count,214
Respiratory,Borough,Bronx,Age Group,All age groups,1/25/16,Count,368
Respiratory,Borough,Bronx,Age Group,All age groups,1/26/16,Count,312
Respiratory,Borough,Bronx,Age Group,All age groups,1/27/16,Count,306
Respiratory,Borough,Bronx,Age Group,All age groups,1/28/16,Count,320
Respiratory,Borough,Bronx,Age Group,All age groups,1/29/16,Count,280
Respiratory,Borough,Bronx,Age Group,All age groups,1/30/16,Count,231
Respiratory,Borough,Bronx,Age Group,All age groups,1/31/16,Count,267
Respiratory,Borough,Bronx,Age Group,All age groups,2/1/16,Count,311
Respiratory,Borough,Bronx,Age Group,All age groups,2/2/16,Count,332
Respiratory,Borough,Bronx,Age Group,All age groups,2/3/16,Count,289
Respiratory,Borough,Bronx,Age Group,All age groups,2/4/16,Count,303
Respiratory,Borough,Bronx,Age Group,All age groups,2/5/16,Count,272
Respiratory,Borough,Bronx,Age Group,All age groups,2/6/16,Count,271
Respiratory,Borough,Bronx,Age Group,All age groups,2/7/16,Count,286
Respiratory,Borough,Bronx,Age Group,All age groups,2/8/16,Count,340
Respiratory,Borough,Bronx,Age Group,All age groups,2/9/16,Count,391
Respiratory,Borough,Bronx,Age Group,All age groups,2/10/16,Count,346
Respiratory,Borough,Bronx,Age Group,All age groups,2/11/16,Count,347
Respiratory,Borough,Bronx,Age Group,All age groups,2/12/16,Count,270
Respiratory,Borough,Bronx,Age Group,All age groups,2/13/16,Count,229
Respiratory,Borough,Bronx,Age Group,All age groups,2/14/16,Count,241
Respiratory,Borough,Bronx,Age Group,All age groups,2/15/16,Count,364
Respiratory,Borough,Bronx,Age Group,All age groups,2/16/16,Count,429
Respiratory,Borough,Bronx,Age Group,All age groups,2/17/16,Count,408
Respiratory,Borough,Bronx,Age Group,All age groups,2/18/16,Count,327
Respiratory,Borough,Bronx,Age Group,All age groups,2/19/16,Count,342
Respiratory,Borough,Bronx,Age Group,All age groups,2/20/16,Count,285
Respiratory,Borough,Bronx,Age Group,All age groups,2/21/16,Count,345
Respiratory,Borough,Bronx,Age Group,All age groups,2/22/16,Count,396
Respiratory,Borough,Bronx,Age Group,All age groups,2/23/16,Count,387
Respiratory,Borough,Bronx,Age Group,All age groups,2/24/16,Count,362
Respiratory,Borough,Bronx,Age Group,All age groups,2/25/16,Count,361
Respiratory,Borough,Bronx,Age Group,All age groups,2/26/16,Count,354
Respiratory,Borough,Bronx,Age Group,All age groups,2/27/16,Count,302
Respiratory,Borough,Bronx,Age Group,All age groups,2/28/16,Count,294
Respiratory,Borough,Bronx,Age Group,All age groups,2/29/16,Count,424
Respiratory,Borough,Bronx,Age Group,All age groups,3/1/16,Count,355
Respiratory,Borough,Bronx,Age Group,All age groups,3/2/16,Count,371
Respiratory,Borough,Bronx,Age Group,All age groups,3/3/16,Count,331
