Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Select Metric,
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk1,Count,673
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk2,Count,"2,210"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk3,Count,"2,073"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk4,Count,"1,859"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk5,Count,"2,031"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk6,Count,"2,045"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk7,Count,"2,209"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk8,Count,"2,396"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk9,Count,"2,507"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk10,Count,"2,427"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk11,Count,"2,625"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk12,Count,"2,375"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk13,Count,"2,151"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk14,Count,"2,072"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk15,Count,"1,831"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk16,Count,"1,927"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk17,Count,"1,922"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk18,Count,"1,909"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk19,Count,"1,662"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk20,Count,"1,643"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk21,Count,"1,741"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk22,Count,"1,656"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk23,Count,"1,573"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk24,Count,"1,632"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk25,Count,"1,504"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk26,Count,"1,455"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk27,Count,"1,483"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk28,Count,"1,325"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk29,Count,"1,323"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk30,Count,"1,287"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk31,Count,"1,329"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk32,Count,"1,402"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk33,Count,"1,369"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk34,Count,"1,362"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk35,Count,"1,345"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk36,Count,"1,296"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk37,Count,"1,327"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk38,Count,"1,459"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk39,Count,"1,843"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk40,Count,"2,025"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk41,Count,"2,174"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk42,Count,"2,112"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk43,Count,"2,158"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk44,Count,"2,026"
Respiratory,Borough,Bronx,Age Group,All age groups,2016 wk45,Count,"2,147"
