"G_w_y_scaling","M_0","V_0","K_0","R_0","b_q","b_a","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon"
0,5,13,14,115.480462121038,0.192425436474017,0.640624108190017,0,0.688906489986889,0.582881751435094,1.08999928701846,1.08999940390068,0.199999971274815,0.124999981459498,39.8819393224911,8000000.06767244,13598.7678087829,25714.8350788536,0,17,22,0.899999992055165,0.25550137426984,0.0121506314286589,0.981008523176606,-37.2348103101014,229.409400109291,1183.2999997494,0.116200294578772,109.112100374033
0,5,13,14,17.1626525920752,0.0817695266950728,0.140631195997531,0,0.214902128442279,0.127343002090189,1.08999966104156,1.08999977792378,0.19999998798765,0.124999995930134,155.789673096646,8000000.37703217,39065.542192926,10793.0811550671,0,17,22,0.899999955735921,0.2317459641974,0.0121503446756667,0.981008575481896,-37.2348106522821,229.409400275829,1183.29999999241,0.116200067907073,109.112100082105
0,5,13,14,164.63936688552,0.137097481584545,0.89062056428626,0,0.925908670759195,0.810651126107547,1.08999984805311,1.08999959091223,0.199999996344067,0.12499997422418,213.743539983724,8000000.22235231,26332.1550008545,3332.20419317388,0,17,22,0.899999937576299,0.26737907930606,0.0121502012991706,0.981008497023961,-37.234810139011,229.40940019256,1183.2999998709,0.116200181242923,109.112100519997
0,5,13,14,66.3215573565568,0.247753391363489,0.390627652093774,0,0.451904309214584,0.355112376762641,1.08999947403001,1.08999996493533,0.199999979631232,0.124999988694816,97.8358062095688,8000000.53171204,865.380616711405,18253.9581169604,0,17,22,0.899999973895543,0.24362366923362,0.0121504880521628,0.981008549329251,-37.2348104811918,229.409400026022,1183.2999996279,0.116200407914622,109.112100228069
0,5,13,14,140.059914503279,0.109433504139809,0.265629424045653,0,0.0964010380561265,0.69676643877132,1.08999994155889,1.08999949740645,0.199999983809441,0.124999985077157,68.8588727660299,8000000.4543721,19965.4614048187,14523.5196360138,0,17,22,0.899999928496487,0.23768481671551,0.0121504163639148,0.981008562405573,-37.2348102245561,229.409400234194,1183.29999956715,0.116200351246697,109.112100301051
0,5,13,14,41.742104974316,0.220089413918753,0.765622336238138,0,0.570405399600737,0.241227689426415,1.08999956753578,1.08999987142956,0.199999967096606,0.124999999547793,184.766606540185,8000000.14501237,45432.2357889618,29445.2735598003,0,17,22,0.899999964815732,0.26144022678795,0.012150703116907,0.981008510100284,-37.2348105667369,229.409400067656,1183.29999981015,0.116200124574998,109.112100009123
0,5,13,14,189.218819267761,0.164761459029281,0.0156329679494097,0,0.333403218828432,0.924535813443773,1.08999938052423,1.0899993103949,0.199999975453024,0.124999977841839,126.812739653108,8000000.60905197,32698.8485968903,21984.396597907,0,17,22,0.899999982975354,0.24956252175173,0.0121505597404109,0.981008588558218,-37.2348100534658,229.409400150925,1183.29999993165,0.116200237910847,109.112100447015
0,5,13,14,90.9010097387975,0.0541055492503367,0.515625880141895,0,0.807407580373042,0.468997064098868,1.08999975454734,1.08999968441801,0.199999992165859,0.124999992312475,10.9050058789522,8000000.29969224,7232.07421274718,7062.64267412051,0,17,22,0.89999994665611,0.27331793182417,0.0121502729874187,0.981008536252928,-37.2348103956465,229.409400317463,1183.29999968865,0.116200464582547,109.112100155087
0,5,13,14,29.4523787831956,0.0679375379727047,0.578124994165956,0,0.392653764021508,0.639824095103207,1.08999933377134,1.08999963766512,0.199999998433172,0.124999994121304,141.301206374877,8000000.10634241,48615.5825869797,27580.054319327,0,17,22,0.899999933036393,0.270348505565115,0.0121505955845349,0.981008503562123,-37.2348100106932,229.409400046839,1183.29999990128,0.116200492916509,109.112100556488
0,5,13,14,127.770188312159,0.178593447751649,0.0781320819734704,0,0.866658125566118,0.184285345758302,1.08999970779445,1.08999926364201,0.199999981720337,0.124999979650668,25.3934726007216,8000000.41570214,23148.8082028366,12658.3003955404,0,17,22,0.899999969355638,0.246593095492675,0.0121503088315427,0.981008555867412,-37.234810352874,229.409400213377,1183.29999965827,0.11620026624481,109.11210026456
0,5,13,14,78.6112835476771,0.233921402641121,0.828121450262199,0,0.155651583249203,0.86759346977566,1.089999894806,1.08999982467667,0.199999973363919,0.124999986885986,83.3473394877994,8000000.26102227,10415.4210107651,5197.4234336472,0,17,22,0.89999998751526,0.258470800528895,0.0121501654550466,0.981008529714767,-37.2348101817836,229.409400296646,1183.29999953677,0.11620015290896,109.112100410524
0,5,13,14,176.92909307664,0.123265492862177,0.328128538069713,0,0.629655944793813,0.412054720430754,1.0899995207829,1.08999945065356,0.199999990076754,0.12499997241535,199.255073261955,8000000.570382,35882.1953949081,20119.1773574337,0,17,22,0.899999951196015,0.234715390456455,0.0121504522080388,0.981008582020057,-37.2348105239643,229.409400130108,1183.29999977978,0.11620037958066,109.112100118596
0,5,13,14,4.87292640095479,0.206257425196385,0.453126766117835,0,0.985159215952271,0.525939407766981,1.08999998831178,1.08999991818245,0.199999977542128,0.124999997738963,228.232006705494,8000000.3383622,42248.8889909439,8927.86191459382,0,17,22,0.899999996595071,0.252531948010785,0.0121503805197908,0.981008595096379,-37.2348100962384,229.409400255011,1183.29999984053,0.116200436248585,109.112100483506
