"G_w_y_scaling","M_0","V_0","K_0","R_0","b_q","b_a","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon"
0,5,13,14,114.60748858215,0.252399713633258,0.640615685280359,0,0.691953541579844,0.578912281026195,1.09,1.09,0.2,0.125,37.233266719773,8e+06,12865.0204209117,31326.8286222524,0,17,22,0.9,0.321843383983807,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,16.6666015430908,0.093626789458615,0.140635341356224,0,0.22258362549232,0.088907167298125,1.09,1.09,0.2,0.125,144.751084678334,8e+06,37081.0766966204,13153.8739518891,0,17,22,0.9,0.278654331327758,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,163.57793210168,0.173013251545936,0.890605857242427,0,0.926638499623606,0.82391483789023,1.09,1.09,0.2,0.125,198.509993657615,8e+06,24973.0485587661,4067.39661670741,0,17,22,0.9,0.343437910311831,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,65.6370450626206,0.331786175720579,0.390625513318291,0,0.457268583536082,0.33390972416216,1.09,1.09,0.2,0.125,90.9921756990536,8e+06,756.992283057344,22240.3512870707,0,17,22,0.9,0.300248857655782,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,139.092710341915,0.133320020502276,0.265630427337258,0,0.105241146470439,0.701413559458212,1.09,1.09,0.2,0.125,64.1127212094133,8e+06,18919.0344898389,17697.1126194799,0,17,22,0.9,0.28945159449177,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,41.1518233028557,0.292092944676919,0.765610771261393,0,0.574611062557963,0.211408445730143,1.09,1.09,0.2,0.125,171.630539167974,8e+06,43135.0907655476,35870.0672898432,0,17,22,0.9,0.332640647147819,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,188.063153861445,0.212706482589597,0.0156402553751896,0,0.339926104514201,0.946416116322247,1.09,1.09,0.2,0.125,117.871630188694,8e+06,31027.0626276933,26783.5899546616,0,17,22,0.9,0.311046120819794,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,90.1222668223855,0.0539335584149543,0.515620599299325,0,0.809296020601725,0.456411002594178,1.09,1.09,0.2,0.125,10.3538122301327,8e+06,6811.00635198453,8610.63528429824,0,17,22,0.9,0.354235173475843,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,28.9092124229733,0.0737801739367847,0.578118142289842,0,0.398597344025142,0.640162920242204,1.09,1.09,0.2,0.125,131.311357433514,8e+06,46162.0978000112,33598.4479560478,0,17,22,0.9,0.348836541893837,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
0,5,13,14,126.850099462033,0.232553098111427,0.0781377983657066,0,0.867967260112666,0.150157806514134,1.09,1.09,0.2,0.125,23.7935394749528,8e+06,21946.0415243025,15425.4932856845,0,17,22,0.9,0.305647489237788,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121
