"b_a","M_0","V_0","K_0","R_0","b_q","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,118.325701758097,0.0539625709242992,0.0106678412653234,0.0999883990322366,0.592368461858729,1.09,1.09,0.2,0.125,147.634483710008,8e+06,6712.51419309288,9373.81575806717,0,17,22,0.9,0.316515759215748,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,1,-651.313105301194,,,0.0335376086585346
0,5,13,14,17.2214703944721,0.168663245775627,0.190066307597247,0.144093995127433,0.126120676748658,1.09,1.09,0.2,0.125,557.123527246372,8e+06,47309.6272894796,23074.4126466379,0,17,22,0.9,0.279831695680836,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,1,-630.641458219138,,,0.0111735562681232
0,5,13,14,77.8090032912661,0.112187360665891,0.12636767066757,0.0758600531002579,0.572646749183868,1.09,1.09,0.2,0.125,90.3120718499252,8e+06,27344.1064914298,10662.7878030937,0,17,22,0.9,0.297732181716478,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,2,-637.331895797738,,,0.00616231673057997
0,5,13,14,11.7402534367275,0.124374404758986,0.729659347388947,0.199774625689089,0.78363371047767,1.09,1.09,0.2,0.125,118.688236798967,8e+06,25535.8562201626,1165.90339848428,0,17,22,0.9,0.291088186222084,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,2,-638.065975335042,,,0.00984425098690623
0,5,13,14,7.7187306411816,0.197855503073419,0.656890025303233,0.200974990790784,0.169448791547179,1.09,1.09,0.2,0.125,59.5584669969407,8e+06,45784.4520218079,8902.74788418372,0,17,22,0.9,0.275442235762636,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,3,-627.740262750076,,,0.00588927087438223
0,5,13,14,4.935186981212,0.19336624981275,0.797254676701622,0.335022316203366,0.0438646376939473,1.09,1.09,0.2,0.125,489.835852510527,8e+06,12639.9821729906,27414.2775895738,0,17,22,0.9,0.286588232826374,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,3,-636.452179782358,,,0.0499637970608699
0,5,13,14,15.4387755812946,0.167708336440745,0.792451325320943,0.0966326262638585,0.686517760095636,1.09,1.09,0.2,0.125,115.662939570907,8e+06,43950.8154791092,4175.00648047155,0,17,22,0.9,0.291652314066492,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,4,-634.296641954917,,,0.00869491524271125
0,5,13,14,5.4629809870231,0.174946985541374,0.649946941981412,0.359156145612118,0.048158461866363,1.09,1.09,0.2,0.125,48.4647480171735,8e+06,9555.74405905547,23738.4151863449,0,17,22,0.9,0.283386237013468,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,4,-637.042361770942,,,0.0422659139046392
0,5,13,14,14.7249124088037,0.142203816890808,0.0758149205866972,0.220312366946567,0.16000785637305,1.09,1.09,0.2,0.125,16.4938225026251,8e+06,41130.7653760168,9552.44802354406,0,17,22,0.9,0.280446065649555,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,5,-629.608910743176,,,0.00963928750093502
0,5,13,14,18.3258053441788,0.182079991879909,0.709870471984119,0.0858103978650038,0.689919508367621,1.09,1.09,0.2,0.125,3.17734819675579,8e+06,50477.3517864213,4816.49835744857,0,17,22,0.9,0.291316294672713,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,5,-635.619979952676,,,0.00546461535800908
0,5,13,14,163.071481001296,0.11659394761724,0.00624574872653914,0.0644346766598724,0.566356189761441,1.09,1.09,0.2,0.125,339.013272721845,8e+06,38160.1824330605,12015.492673996,0,17,22,0.9,0.295720984331394,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,6,-638.200455716253,,,0.00981709543201096
0,5,13,14,3.19528202103962,0.155285162767929,0.891659897822857,0.732483553679368,0.050664094574897,1.09,1.09,0.2,0.125,12.5070790509545,8e+06,2362.98048871115,11273.1555035679,0,17,22,0.9,0.292736928387054,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,6,-638.601383091348,,,0.0366538244263305
0,5,13,14,5.27394857507804,0.19011190334151,0.882812933208141,0.306748360733724,0.21238443442325,1.09,1.09,0.2,0.125,116.020734976183,8e+06,33486.012923607,3957.77766094138,0,17,22,0.9,0.276259733796101,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,7,-628.080512393321,,,0.00872293223476384
0,5,13,14,8.57712078204786,0.151351214100458,0.366700341079426,0.291007228115016,0.117780471335786,1.09,1.09,0.2,0.125,201.489722641919,8e+06,21743.9533742367,12869.3758198519,0,17,22,0.9,0.27959498744816,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,7,-631.621082886475,,,0.00883104923302938
0,5,13,14,93.1947480970102,0.154868617054806,0.0825946966950847,0.0659675676406885,0.56360355332782,1.09,1.09,0.2,0.125,35.2144734381287,8e+06,44819.021463876,13718.0441639661,0,17,22,0.9,0.298717362193876,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,8,-641.331642079665,,,0.00905700729261467
0,5,13,14,147.473675057588,0.0936859471022268,0.0195289898972406,0.0686958867716645,0.606525706574825,1.09,1.09,0.2,0.125,4.37337767263959,8e+06,34462.9346239017,8191.15267168164,0,17,22,0.9,0.295475023479889,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,8,-635.109572979542,,,0.0125442148108924
