"b_a","M_0","V_0","K_0","R_0","b_q","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,11.9399885356012,0.0871599765052486,0.837104356446378,0.283319886015148,0.687639878484143,1.08999968441801,1.08999928701846,0.199999973363919,0.124999975128594,69.4612366027457,8000000.10634241,9307.41470557559,2743.87261495629,0,17,22,0.899999960275826,0.247634149802496,0.0121504701301008,0.981008582020057,-37.234810502578,229.409400182151,1183.29999967346,0.11620026624481,109.112100319296,0.161999985264939,"mif1",1,1,-624.169615454913,,,0.0157955813154868
0,5,13,14,23.0869090896137,0.133096630813337,0.0730423201080122,0.154571347039067,0.164106474948415,1.0899993103949,1.08999966104156,0.199999990076754,0.12499998959923,169.485393867377,8000000.41570214,33837.8258419914,17546.6790278441,0,17,22,0.899999996595071,0.245062275673905,0.0121501833771086,0.981008529714767,-37.2348101603973,229.409400015613,1183.29999991647,0.116200492916509,109.112100027368,0.161999964763984,"mif1",2,1,-621.370674503661,,,0.0126540841056949
0,5,13,14,133.817762259263,0.0779358876766475,0.00924594641149185,0.0749623378202993,0.691866667145314,1.08999987142956,1.08999984805311,0.199999981720337,0.124999996834548,2.28582083343832,8000000.570382,30767.7198982349,8202.39104496472,0,17,22,0.899999942116204,0.239360183213308,0.0121506135065969,0.981008503562123,-37.2348106736684,229.40940026542,1183.29999979496,0.11620037958066,109.112100173332,0.161999995515416,"mif1",1,2,-621.442063692052,,,0.0155053781636732
0,5,13,14,13.744345590613,0.133489224746495,0.544005099319971,0.182069178016949,0.863505051206142,1.08999949740645,1.08999947403001,0.199999998433172,0.124999982363912,170.010058824408,8000000.26102227,27151.1712974873,880.842376396388,0,17,22,0.899999978435449,0.239015917202864,0.0121503267536047,0.981008555867412,-37.2348103314877,229.409400098882,1183.29999955196,0.11620015290896,109.11210046526,0.161999975014462,"mif1",2,2,-620.254683939138,,,0.0192061221145271
0,5,13,14,13.3401036745577,0.175562734642619,0.370562976016998,0.156941919451601,0.248924870752005,1.08999977792378,1.08999994155889,0.199999977542128,0.124999985981571,14.5049792087374,8000000.18368235,48145.3047167728,7828.76909218607,0,17,22,0.899999969355638,0.235252864791735,0.0121502550653567,0.98100854279109,-37.2348102459424,229.409400223785,1183.29999985572,0.116200096241035,109.112100392278,0.1619999801397,"mif1",1,3,-616.670962498087,,,0.00942880046796649
0,5,13,14,17.1519552271062,0.127099206114491,0.113569063140922,0.206307408846165,0.148088845170145,1.08999940390068,1.08999956753578,0.199999994254963,0.124999971510935,20.2754975948588,8000000.49304206,14337.7165874447,19547.930476533,0,17,22,0.899999933036393,0.253817974299548,0.0121505418183489,0.981008595096379,-37.2348105881232,229.409400057247,1183.29999961271,0.116200322912735,109.11210010035,0.161999959638746,"mif1",2,3,-628.18595924345,,,0.0214285226272485
0,5,13,14,66.1183120440823,0.0894053305383756,0.0532820889438798,0.0954363180400894,0.745072279715173,1.08999959091223,1.08999975454734,0.199999985898545,0.124999993216889,1072.78107607566,8000000.02900248,36808.0201123155,3723.37934162017,0,17,22,0.899999951196015,0.239870633141136,0.012150685194845,0.981008516638445,-37.2348104170328,229.409400140516,1183.29999997722,0.116200209576885,109.112100538242,0.161999969889223,"mif1",1,4,-621.766876567575,,,0.0191655426573907
0,5,13,14,19.448989339423,0.103840180890615,0.00415011499085007,0.240345290615738,0.200085150858053,1.08999973117089,1.08999933377134,0.199999983809441,0.124999998643378,52.6039911754054,8000000.37703217,16119.4538203522,10632.3451406425,0,17,22,0.899999973895543,0.242239666708041,0.0121506493507209,0.981008575481896,-37.2348106308959,229.409400327872,1183.29999958234,0.116200407914622,109.112100574733,0.161999998078036,"mif1",2,4,-622.692171369491,,,0.0171468765231982
0,5,13,14,32.0668743230776,0.123884218998656,0.0139569116696914,0.134035246899459,0.237816001293756,1.08999935714779,1.08999970779445,0.199999967096606,0.124999984172742,62.5155296766054,8000000.06767244,50976.7032737063,10441.3890832817,0,17,22,0.899999937576299,0.23877727607801,0.0121503625977287,0.981008523176606,-37.2348102887151,229.409400161334,1183.29999982534,0.116200181242923,109.112100282805,0.161999977577081,"mif1",1,5,-617.194698572031,,,0.00955794250779521
0,5,13,14,5.75574219287676,0.174633341541012,0.932383770222616,0.29867314746895,0.246062892441098,1.08999991818245,1.089999894806,0.199999992165859,0.124999976937424,149.934284657394,8000000.22235231,26641.6772503562,3829.28229853201,0,17,22,0.899999992055165,0.237202679995289,0.0121505059742248,0.981008497023961,-37.2348104598055,229.409400244603,1183.29999994684,0.116200067907073,109.112100136841,0.161999987827558,"mif1",2,5,-616.376634232142,,,0.00897381801130275
