"b_p","M_0","V_0","K_0","R_0","b_q","b_a","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,14.4942276064886,0.0506119509200222,0.787297368953108,0.132610003473797,0.644488727604585,1.09,1.09,0.2,0.125,240.777346182738,8e+06,9443.00256493819,6131.16579604334,0,17,22,0.9,0.313209678160778,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,1,-641.173597795345,,,0.00417616555761138
0,5,13,14,13.9099358842341,0.0683683659096148,0.122988357240181,0.634425368658085,0.110255426702923,1.09,1.09,0.2,0.125,1360.39560014851,8e+06,32376.4355534481,13440.0908943206,0,17,22,0.9,0.483633520842009,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,1,-672.04929111648,,,0.0027223046782248
0,5,13,14,15.2156056927726,0.0968737183811242,0.804111208639937,0.0649212184522835,0.58489265420886,1.09,1.09,0.2,0.125,77.6362836974228,8e+06,31109.2922650157,9927.62645518445,0,17,22,0.9,0.294884671454345,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,2,-636.879005671941,,,0.00604088424309307
0,5,13,14,6.02468606916955,0.100847685367107,0.904368791492889,0.217550271743721,0.979000775711368,1.09,1.09,0.2,0.125,58.4576454714724,8e+06,34491.3136059021,921.93139492555,0,17,22,0.9,0.30883746890633,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,2,-639.498787224436,,,0.010728463174632
0,5,13,14,7.17938800702407,0.130833239935043,0.497177210925427,0.194529026101699,0.197030984967395,1.09,1.09,0.2,0.125,425.306166100746,8e+06,48346.7162960326,7653.39762961899,0,17,22,0.9,0.277703894864612,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,3,-630.931244579038,,,0.00867630194411477
0,5,13,14,10.9359277421203,0.121296749156071,0.903236280918404,0.539254728658345,0.0760910271071112,1.09,1.09,0.2,0.125,1228.29992889785,8e+06,12885.8269731999,18706.7699582791,0,17,22,0.9,0.543927034775198,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,3,-706.043216130844,,,0.00223740021252859
0,5,13,14,16.2961223402635,0.0788715993946016,0.625505347028329,0.0737586084515044,0.709703024633128,1.09,1.09,0.2,0.125,493.101076404184,8e+06,42179.6234384709,4811.75071024926,0,17,22,0.9,0.29396943967627,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,4,-633.760714804976,,,0.00878586415754646
0,5,13,14,6.07370000976799,0.115213051636279,0.690907704063716,0.232053953835387,0.140171413750159,1.09,1.09,0.2,0.125,473.94640521111,8e+06,18052.2135874223,14296.2964884534,0,17,22,0.9,0.284024052785903,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,4,-632.863494207341,,,0.0102861667564905
0,5,13,14,8.24786450007843,0.12779507790026,0.384094385938282,0.203041837932803,0.176651924103332,1.09,1.09,0.2,0.125,238.967137262444,8e+06,42587.6125856362,8569.00848621688,0,17,22,0.9,0.277997948827879,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,5,-629.089793954838,,,0.00658544645763983
0,5,13,14,5.19335760717607,0.115554871721612,0.799182373849512,0.335676887056442,0.209981560658179,1.09,1.09,0.2,0.125,835.248998979903,8e+06,24876.1254582426,4020.37445287389,0,17,22,0.9,0.278057079598059,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,5,-632.082665306868,,,0.00849363761355978
