"Week.Ending.Date","CDC.Week","Count","Week_Ending_in_Date","Year","CDC_Week","Week"
"01/01/2011",52,479,2011-01-01,2011,52,52
"01/02/2010",52,201,2010-01-02,2010,52,52
"01/02/2016",52,31,2016-01-02,2016,52,52
"01/03/2015",53,601,2015-01-03,2015,53,53
"01/04/2014",1,619,2014-01-04,2014,1,1
"01/04/2020",1,5343,2020-01-04,2020,1,1
"01/05/2013",1,1015,2013-01-05,2013,1,1
"01/05/2019",1,1875,2019-01-05,2019,1,1
"01/06/2018",1,1214,2018-01-06,2018,1,1
"01/07/2012",1,13,2012-01-07,2012,1,1
"01/07/2017",1,1377,2017-01-07,2017,1,1
"01/08/2011",1,585,2011-01-08,2011,1,1
"01/09/2010",1,165,2010-01-09,2010,1,1
"01/09/2016",1,63,2016-01-09,2016,1,1
"01/10/2015",1,935,2015-01-10,2015,1,1
"01/11/2014",2,806,2014-01-11,2014,2,2
"01/11/2020",2,6218,2020-01-11,2020,2,2
"01/12/2013",2,1591,2013-01-12,2013,2,2
"01/12/2019",2,1977,2019-01-12,2019,2,2
"01/13/2018",2,2083,2018-01-13,2018,2,2
"01/14/2012",2,18,2012-01-14,2012,2,2
"01/14/2017",2,1492,2017-01-14,2017,2,2
"01/15/2011",2,570,2011-01-15,2011,2,2
"01/16/2010",2,147,2010-01-16,2010,2,2
"01/16/2016",2,89,2016-01-16,2016,2,2
"01/17/2015",2,1146,2015-01-17,2015,2,2
"01/18/2014",3,923,2014-01-18,2014,3,3
"01/18/2020",3,7716,2020-01-18,2020,3,3
"01/19/2013",3,1966,2013-01-19,2013,3,3
"01/19/2019",3,2507,2019-01-19,2019,3,3
"01/20/2018",3,3060,2018-01-20,2018,3,3
"01/21/2012",3,23,2012-01-21,2012,3,3
"01/21/2017",3,1781,2017-01-21,2017,3,3
"01/22/2011",3,524,2011-01-22,2011,3,3
"01/23/2010",3,122,2010-01-23,2010,3,3
"01/23/2016",3,162,2016-01-23,2016,3,3
"01/24/2015",3,1496,2015-01-24,2015,3,3
"01/25/2014",4,793,2014-01-25,2014,4,4
"01/25/2020",4,8307,2020-01-25,2020,4,4
"01/26/2013",4,1174,2013-01-26,2013,4,4
"01/26/2019",4,3455,2019-01-26,2019,4,4
"01/27/2018",4,4282,2018-01-27,2018,4,4
"01/28/2012",4,20,2012-01-28,2012,4,4
"01/28/2017",4,1967,2017-01-28,2017,4,4
"01/29/2011",4,379,2011-01-29,2011,4,4
"01/30/2010",4,103,2010-01-30,2010,4,4
"01/30/2016",4,214,2016-01-30,2016,4,4
"01/31/2015",4,1397,2015-01-31,2015,4,4
"02/01/2014",5,644,2014-02-01,2014,5,5
"02/01/2020",5,8601,2020-02-01,2020,5,5
"02/02/2013",5,1007,2013-02-02,2013,5,5
"02/02/2019",5,3248,2019-02-02,2019,5,5
"02/03/2018",5,6094,2018-02-03,2018,5,5
"02/04/2012",5,21,2012-02-04,2012,5,5
"02/04/2017",5,1725,2017-02-04,2017,5,5
"02/05/2011",5,334,2011-02-05,2011,5,5
"02/06/2010",5,116,2010-02-06,2010,5,5
"02/06/2016",5,429,2016-02-06,2016,5,5
"02/07/2015",5,1008,2015-02-07,2015,5,5
"02/08/2014",6,654,2014-02-08,2014,6,6
"02/08/2020",6,7913,2020-02-08,2020,6,6
"02/09/2013",6,673,2013-02-09,2013,6,6
"02/09/2019",6,3765,2019-02-09,2019,6,6
"02/10/2018",6,5978,2018-02-10,2018,6,6
"02/11/2012",6,30,2012-02-11,2012,6,6
"02/11/2017",6,1754,2017-02-11,2017,6,6
"02/12/2011",6,313,2011-02-12,2011,6,6
"02/13/2010",6,65,2010-02-13,2010,6,6
"02/13/2016",6,813,2016-02-13,2016,6,6
"02/14/2015",6,858,2015-02-14,2015,6,6
"02/15/2014",7,496,2014-02-15,2014,7,7
"02/15/2020",7,5819,2020-02-15,2020,7,7
"02/16/2013",7,694,2013-02-16,2013,7,7
"02/16/2019",7,3606,2019-02-16,2019,7,7
"02/17/2018",7,7409,2018-02-17,2018,7,7
"02/18/2012",7,51,2012-02-18,2012,7,7
"02/18/2017",7,1284,2017-02-18,2017,7,7
"02/19/2011",7,349,2011-02-19,2011,7,7
"02/20/2010",7,69,2010-02-20,2010,7,7
"02/20/2016",7,1202,2016-02-20,2016,7,7
"02/21/2015",7,596,2015-02-21,2015,7,7
"02/22/2014",8,418,2014-02-22,2014,8,8
"02/22/2020",8,3544,2020-02-22,2020,8,8
"02/23/2013",8,514,2013-02-23,2013,8,8
"02/23/2019",8,3231,2019-02-23,2019,8,8
"02/24/2018",8,5606,2018-02-24,2018,8,8
"02/25/2012",8,69,2012-02-25,2012,8,8
"02/25/2017",8,1092,2017-02-25,2017,8,8
"02/26/2011",8,315,2011-02-26,2011,8,8
"02/27/2010",8,47,2010-02-27,2010,8,8
"02/27/2016",8,1691,2016-02-27,2016,8,8
"02/28/2015",8,352,2015-02-28,2015,8,8
"02/29/2020",9,2700,2020-02-29,2020,9,9
"03/01/2014",9,334,2014-03-01,2014,9,9
"03/02/2013",9,510,2013-03-02,2013,9,9
"03/02/2019",9,2176,2019-03-02,2019,9,9
"03/03/2012",9,47,2012-03-03,2012,9,9
"03/03/2018",9,2115,2018-03-03,2018,9,9
"03/04/2017",9,566,2017-03-04,2017,9,9
"03/05/2011",9,265,2011-03-05,2011,9,9
"03/05/2016",9,2196,2016-03-05,2016,9,9
"03/06/2010",9,29,2010-03-06,2010,9,9
"03/07/2015",9,260,2015-03-07,2015,9,9
"03/07/2020",10,2413,2020-03-07,2020,10,10
"03/08/2014",10,407,2014-03-08,2014,10,10
"03/09/2013",10,394,2013-03-09,2013,10,10
"03/09/2019",10,1894,2019-03-09,2019,10,10
"03/10/2012",10,98,2012-03-10,2012,10,10
"03/10/2018",10,1099,2018-03-10,2018,10,10
"03/11/2017",10,438,2017-03-11,2017,10,10
"03/12/2011",10,162,2011-03-12,2011,10,10
"03/12/2016",10,2520,2016-03-12,2016,10,10
"03/13/2010",10,25,2010-03-13,2010,10,10
"03/14/2015",10,317,2015-03-14,2015,10,10
"03/14/2020",11,1868,2020-03-14,2020,11,11
"03/15/2014",11,591,2014-03-15,2014,11,11
"03/16/2013",11,329,2013-03-16,2013,11,11
"03/16/2019",11,1863,2019-03-16,2019,11,11
"03/17/2012",11,127,2012-03-17,2012,11,11
"03/17/2018",11,810,2018-03-17,2018,11,11
"03/18/2017",11,370,2017-03-18,2017,11,11
"03/19/2011",11,112,2011-03-19,2011,11,11
"03/19/2016",11,2002,2016-03-19,2016,11,11
"03/20/2010",11,14,2010-03-20,2010,11,11
"03/21/2015",11,143,2015-03-21,2015,11,11
"03/21/2020",12,760,2020-03-21,2020,12,12
"03/22/2014",12,816,2014-03-22,2014,12,12
"03/23/2013",12,283,2013-03-23,2013,12,12
"03/23/2019",12,1525,2019-03-23,2019,12,12
"03/24/2012",12,160,2012-03-24,2012,12,12
"03/24/2018",12,714,2018-03-24,2018,12,12
"03/25/2017",12,500,2017-03-25,2017,12,12
"03/26/2011",12,101,2011-03-26,2011,12,12
"03/26/2016",12,1375,2016-03-26,2016,12,12
"03/27/2010",12,14,2010-03-27,2010,12,12
"03/28/2015",12,136,2015-03-28,2015,12,12
"03/28/2020",13,135,2020-03-28,2020,13,13
"03/29/2014",13,1063,2014-03-29,2014,13,13
"03/30/2013",13,209,2013-03-30,2013,13,13
"03/30/2019",13,1252,2019-03-30,2019,13,13
"03/31/2012",13,141,2012-03-31,2012,13,13
"03/31/2018",13,621,2018-03-31,2018,13,13
"04/01/2017",13,573,2017-04-01,2017,13,13
"04/02/2011",13,78,2011-04-02,2011,13,13
"04/02/2016",13,1047,2016-04-02,2016,13,13
"04/03/2010",13,10,2010-04-03,2010,13,13
"04/04/2015",13,114,2015-04-04,2015,13,13
"04/04/2020",14,46,2020-04-04,2020,14,14
"04/05/2014",14,1284,2014-04-05,2014,14,14
"04/06/2013",14,172,2013-04-06,2013,14,14
"04/06/2019",14,1122,2019-04-06,2019,14,14
"04/07/2012",14,81,2012-04-07,2012,14,14
"04/07/2018",14,570,2018-04-07,2018,14,14
"04/08/2017",14,661,2017-04-08,2017,14,14
"04/09/2011",14,77,2011-04-09,2011,14,14
"04/09/2016",14,817,2016-04-09,2016,14,14
"04/10/2010",14,12,2010-04-10,2010,14,14
"04/11/2015",14,105,2015-04-11,2015,14,14
"04/11/2020",15,35,2020-04-11,2020,15,15
"04/12/2014",15,1191,2014-04-12,2014,15,15
"04/13/2013",15,105,2013-04-13,2013,15,15
"04/13/2019",15,907,2019-04-13,2019,15,15
"04/14/2012",15,122,2012-04-14,2012,15,15
"04/14/2018",15,369,2018-04-14,2018,15,15
"04/15/2017",15,558,2017-04-15,2017,15,15
"04/16/2011",15,27,2011-04-16,2011,15,15
"04/16/2016",15,719,2016-04-16,2016,15,15
"04/17/2010",15,7,2010-04-17,2010,15,15
"04/17/2015",15,71,2015-04-17,2015,15,15
"04/19/2014",16,795,2014-04-19,2014,16,16
"04/20/2013",16,69,2013-04-20,2013,16,16
"04/20/2019",16,561,2019-04-20,2019,16,16
"04/21/2012",16,120,2012-04-21,2012,16,16
"04/21/2018",16,268,2018-04-21,2018,16,16
"04/22/2017",16,403,2017-04-22,2017,16,16
"04/23/2011",16,38,2011-04-23,2011,16,16
"04/23/2016",16,716,2016-04-23,2016,16,16
