"times","L_advanced_2_days","Week","Year","L_orig","F_w_y"
-1,0,9,2020,0,2700
0,8,10,2020,0,2413
1,8,10,2020,0,2413
2,36,10,2020,8,2413
3,45,10,2020,8,2413
4,64,10,2020,36,2413
5,63,10,2020,45,2413
6,130,10,2020,64,2413
7,177,11,2020,63,1868
8,174,11,2020,130,1868
9,371,11,2020,177,1868
10,691,11,2020,174,1868
11,511,11,2020,371,1868
12,824,11,2020,691,1868
13,891,11,2020,511,1868
14,2204,12,2020,824,760
15,3344,12,2020,891,760
16,4844,12,2020,2204,760
17,5077,12,2020,3344,760
18,6927,12,2020,4844,760
19,6614,12,2020,5077,760
20,5387,12,2020,6927,760
21,5686,13,2020,6614,135
22,6955,13,2020,5387,135
23,6923,13,2020,5686,135
24,7948,13,2020,6955,135
25,7202,13,2020,6923,135
26,6201,13,2020,7948,135
27,9892,13,2020,7202,135
28,7331,14,2020,6201,46
29,7513,14,2020,9892,46
30,9363,14,2020,7331,46
31,11248,14,2020,7513,46
32,7814,14,2020,9363,46
33,8133,14,2020,11248,46
34,8959,14,2020,7814,46
35,10572,15,2020,8133,35
36,10696,15,2020,8959,35
37,11027,15,2020,10572,35
38,11762,15,2020,10696,35
39,10783,15,2020,11027,35
40,8053,15,2020,11762,35
41,8710,15,2020,10783,35
42,16210,16,2020,8053,0
43,12524,16,2020,8710,0
44,11756,16,2020,16210,0
45,11651,16,2020,12524,0
46,10271,16,2020,11756,0
47,7798,16,2020,11651,0
48,8829,16,2020,10271,0
49,11255,17,2020,7798,0
50,13364,17,2020,8829,0
51,18115,17,2020,11255,0
52,17238,17,2020,13364,0
53,13564,17,2020,18115,0
54,10541,17,2020,17238,0
55,9892,17,2020,13564,0
56,14067,18,2020,10541,0
57,14262,18,2020,9892,0
58,13494,18,2020,14067,0
59,16452,18,2020,14262,0
60,13359,18,2020,13494,0
61,9183,18,2020,16452,0
62,10817,18,2020,13359,0
63,13046,19,2020,9183,0
64,16369,19,2020,10817,0
65,15360,19,2020,13046,0
66,15681,19,2020,16369,0
67,13086,19,2020,15360,0
68,9891,19,2020,15681,0
69,9547,19,2020,13086,0
70,14753,20,2020,9891,0
71,18450,20,2020,9547,0
72,19773,20,2020,14753,0
73,18381,20,2020,18450,0
74,15256,20,2020,19773,0
75,10994,20,2020,18381,0
76,13049,20,2020,15256,0
77,15589,21,2020,10994,0
78,21148,21,2020,13049,0
79,19214,21,2020,15589,0
80,20909,21,2020,21148,0
81,21965,21,2020,19214,0
82,15971,21,2020,20909,0
83,15918,21,2020,21965,0
84,17524,22,2020,15971,0
85,34232,22,2020,15918,0
86,34096,22,2020,17524,0
87,28578,22,2020,34232,0
88,23370,22,2020,34096,0
89,21253,22,2020,28578,0
90,24933,22,2020,23370,0
