"Sim","Week","Week_Ending_in_Date","G_w_2020_pred"
1,2,2020-01-11,15700.534329444
1,3,2020-01-18,16694.3200910804
1,4,2020-01-25,16965.6141867281
1,5,2020-02-01,17011.1029497227
1,6,2020-02-08,16274.1154616936
1,7,2020-02-15,14410.2790611777
1,8,2020-02-22,12416.5231006606
1,9,2020-02-29,11604.5640032153
1,10,2020-03-07,11263.9976299519
1,11,2020-03-14,10732.4106356872
1,12,2020-03-21,9762.22534965567
1,13,2020-03-28,9204.77193665536
1,14,2020-04-04,9103.67110129573
1,15,2020-04-11,9086.89447048586
2,2,2020-01-11,13638.0441668753
2,3,2020-01-18,14631.8299285117
2,4,2020-01-25,14903.1240241594
2,5,2020-02-01,14948.612787154
2,6,2020-02-08,14211.6252991249
2,7,2020-02-15,12347.788898609
2,8,2020-02-22,10354.0329380919
2,9,2020-02-29,9542.07384064665
2,10,2020-03-07,9201.50746738316
2,11,2020-03-14,8669.92047311852
2,12,2020-03-21,7699.73518708698
2,13,2020-03-28,7142.28177408667
2,14,2020-04-04,7041.18093872704
2,15,2020-04-11,7024.40430791716
3,2,2020-01-11,14420.3503712773
3,3,2020-01-18,15414.1361329137
3,4,2020-01-25,15685.4302285614
3,5,2020-02-01,15730.9189915561
3,6,2020-02-08,14993.9315035269
3,7,2020-02-15,13130.095103011
3,8,2020-02-22,11136.3391424939
3,9,2020-02-29,10324.3800450487
3,10,2020-03-07,9983.81367178518
3,11,2020-03-14,9452.22667752054
3,12,2020-03-21,8482.041391489
3,13,2020-03-28,7924.58797848869
3,14,2020-04-04,7823.48714312906
3,15,2020-04-11,7806.71051231918
4,2,2020-01-11,14411.9099907275
4,3,2020-01-18,15405.6957523639
4,4,2020-01-25,15676.9898480116
4,5,2020-02-01,15722.4786110062
4,6,2020-02-08,14985.4911229771
4,7,2020-02-15,13121.6547224612
4,8,2020-02-22,11127.8987619441
4,9,2020-02-29,10315.9396644989
4,10,2020-03-07,9975.37329123538
4,11,2020-03-14,9443.78629697074
4,12,2020-03-21,8473.60101093919
4,13,2020-03-28,7916.14759793888
4,14,2020-04-04,7815.04676257925
4,15,2020-04-11,7798.27013176937
5,2,2020-01-11,15033.5239491897
5,3,2020-01-18,16027.3097108261
5,4,2020-01-25,16298.6038064738
5,5,2020-02-01,16344.0925694684
5,6,2020-02-08,15607.1050814393
5,7,2020-02-15,13743.2686809234
5,8,2020-02-22,11749.5127204063
5,9,2020-02-29,10937.553622961
5,10,2020-03-07,10596.9872496976
5,11,2020-03-14,10065.4002554329
5,12,2020-03-21,9095.21496940138
5,13,2020-03-28,8537.76155640107
5,14,2020-04-04,8436.66072104144
5,15,2020-04-11,8419.88409023156
6,2,2020-01-11,14675.139098808
6,3,2020-01-18,15668.9248604443
6,4,2020-01-25,15940.218956092
6,5,2020-02-01,15985.7077190867
6,6,2020-02-08,15248.7202310576
6,7,2020-02-15,13384.8838305416
6,8,2020-02-22,11391.1278700245
6,9,2020-02-29,10579.1687725793
6,10,2020-03-07,10238.6023993158
6,11,2020-03-14,9707.01540505115
6,12,2020-03-21,8736.8301190196
6,13,2020-03-28,8179.37670601929
6,14,2020-04-04,8078.27587065966
6,15,2020-04-11,8061.49923984979
7,2,2020-01-11,13453.5399627594
7,3,2020-01-18,14447.3257243957
7,4,2020-01-25,14718.6198200434
7,5,2020-02-01,14764.1085830381
7,6,2020-02-08,14027.121095009
7,7,2020-02-15,12163.284694493
7,8,2020-02-22,10169.528733976
7,9,2020-02-29,9357.5696365307
7,10,2020-03-07,9017.00326326722
7,11,2020-03-14,8485.41626900258
7,12,2020-03-21,7515.23098297103
7,13,2020-03-28,6957.77756997073
7,14,2020-04-04,6856.67673461109
7,15,2020-04-11,6839.90010380122
8,2,2020-01-11,14771.3180267371
8,3,2020-01-18,15765.1037883735
8,4,2020-01-25,16036.3978840212
8,5,2020-02-01,16081.8866470158
8,6,2020-02-08,15344.8991589867
8,7,2020-02-15,13481.0627584708
8,8,2020-02-22,11487.3067979537
8,9,2020-02-29,10675.3477005085
8,10,2020-03-07,10334.781327245
8,11,2020-03-14,9803.19433298033
8,12,2020-03-21,8833.00904694878
8,13,2020-03-28,8275.55563394847
8,14,2020-04-04,8174.45479858884
8,15,2020-04-11,8157.67816777897
9,2,2020-01-11,14007.8848987091
9,3,2020-01-18,15001.6706603455
9,4,2020-01-25,15272.9647559931
9,5,2020-02-01,15318.4535189878
9,6,2020-02-08,14581.4660309587
9,7,2020-02-15,12717.6296304427
9,8,2020-02-22,10723.8736699257
9,9,2020-02-29,9911.91457248042
9,10,2020-03-07,9571.34819921693
9,11,2020-03-14,9039.76120495229
